date,temp,tmin,tmax,rhum,prcp,snwd,wspd,pres,cldc
2014-01-29,15.2,11.2,20.0,77,0.1,0,5.3,1016.3,0
2014-01-30,14.9,13.9,16.7,75,0.0,0,9.0,1012.9,
2014-01-31,14.8,12.9,17.7,53,0.0,0,14.2,1013.1,
2014-02-01,14.5,10.4,19.5,26,0.0,0,12.8,1015.9,0
2014-02-02,12.1,7.5,16.7,46,1.2,0,9.9,1016.7,
2014-02-03,12.4,8.1,16.4,58,0.1,0,10.7,1013.4,0
2014-02-04,12.6,8.1,16.7,59,0.0,0,6.1,1016.6,
2014-02-05,13.4,9.7,17.3,60,0.0,0,7.6,1018.0,
2014-02-06,13.0,11.7,15.4,73,2.7,0,7.6,1017.0,
2014-02-07,13.2,10.4,16.5,75,0.0,0,6.2,1020.1,
2014-02-08,14.4,11.4,17.7,71,0.0,0,8.4,1023.3,
2014-02-09,15.1,12.9,19.2,72,0.0,0,5.5,1021.3,
2014-02-10,16.0,11.8,21.3,70,0.0,0,8.5,1018.4,0
2014-02-11,15.6,11.4,21.5,74,0.0,0,4.3,1017.6,0
2014-02-12,17.3,11.0,25.8,49,0.1,0,5.2,1018.5,0
2014-02-13,17.7,11.7,24.8,55,0.0,0,5.2,1016.5,0
2014-02-14,17.5,10.6,25.3,54,0.0,0,4.4,1015.8,0
2014-02-15,17.3,11.3,25.2,58,0.0,0,4.4,1015.1,0
2014-02-16,16.9,12.9,23.2,66,0.0,0,5.6,1016.0,0
2014-02-17,15.2,11.1,19.5,74,0.1,0,6.9,1016.9,0
2014-02-18,15.2,12.7,19.0,71,0.0,0,6.7,1016.4,
2014-02-19,15.2,11.8,20.4,72,0.0,0,9.0,1014.2,0
2014-02-20,17.9,11.0,26.7,54,0.0,0,6.0,1014.8,0
2014-02-21,18.1,12.8,24.8,48,0.0,0,6.2,1013.5,0
2014-02-22,15.8,10.5,22.7,65,0.0,0,5.3,1012.3,0
2014-02-23,14.8,9.3,21.2,69,0.0,0,6.0,1014.1,0
2014-02-24,15.4,11.1,20.3,69,0.0,0,6.8,1014.9,0
2014-02-25,15.5,12.1,20.0,67,0.0,0,7.1,1015.9,
2014-02-26,15.7,13.8,18.4,67,5.3,0,9.4,1017.0,
2014-02-27,16.4,13.2,20.3,76,19.9,0,10.5,1013.7,
2014-02-28,14.9,13.3,16.8,84,57.2,0,18.3,1006.4,
2014-03-01,13.7,11.4,16.4,81,14.3,0,11.1,1009.8,
2014-03-02,13.4,11.4,16.8,79,0.0,0,6.3,1018.7,
2014-03-03,14.6,10.9,19.2,76,0.1,0,7.4,1018.5,0
2014-03-04,15.3,12.2,19.6,77,0.0,0,7.0,1016.3,
2014-03-05,16.3,12.2,20.6,76,0.0,0,7.2,1017.0,0
2014-03-06,16.9,14.0,20.9,75,0.0,,7.1,1016.2,
2014-03-07,17.1,12.9,21.3,64,0.0,0,6.7,1014.1,0
2014-03-08,18.7,11.2,25.7,42,0.0,0,5.8,1017.2,0
2014-03-09,21.5,15.0,29.3,21,0.0,0,8.7,1019.2,0
2014-03-10,19.5,13.6,25.3,39,0.0,0,6.5,1016.6,0
2014-03-11,18.0,12.6,25.0,56,0.0,0,4.7,1014.4,0
2014-03-12,17.7,12.2,26.3,59,0.0,0,6.7,1014.6,0
2014-03-13,16.6,14.2,20.1,64,0.0,0,8.1,1014.1,
2014-03-14,15.8,10.9,20.7,69,0.0,0,6.3,1017.6,1
2014-03-15,18.1,12.2,24.9,61,0.0,0,6.0,1020.8,0
2014-03-16,21.2,13.2,30.6,38,0.0,0,7.0,1021.1,0
2014-03-17,18.3,13.3,22.7,58,0.0,0,11.3,1012.5,0
2014-03-18,17.3,14.0,22.7,64,0.0,0,9.6,1010.3,
2014-03-19,17.4,12.9,23.1,64,0.0,0,6.9,1015.7,0
2014-03-20,16.5,13.0,21.2,67,0.0,0,8.1,1015.5,1
2014-03-21,15.6,13.4,18.9,65,0.0,0,8.4,1014.9,
2014-03-22,15.5,13.8,18.5,65,0.0,0,8.9,1017.3,
2014-03-23,15.0,11.6,19.7,71,0.0,0,7.5,1018.6,0
2014-03-24,15.6,14.2,19.0,73,0.0,0,7.0,1017.9,
2014-03-25,15.5,14.1,18.1,72,0.0,0,10.2,1014.8,
2014-03-26,15.3,13.3,18.7,67,0.4,0,21.9,1013.3,
2014-03-27,15.1,11.1,18.5,61,0.0,0,10.3,1016.3,0
2014-03-28,15.6,11.7,20.0,65,0.0,0,9.2,1019.7,0
2014-03-29,16.6,12.0,22.5,65,0.0,0,9.3,1017.5,0
2014-03-30,16.6,13.0,20.5,57,0.0,0,17.0,1015.6,0
2014-03-31,14.4,10.7,17.8,66,0.0,0,13.6,1016.0,3
2014-04-01,13.8,10.9,16.7,62,1.7,0,18.0,1014.8,
2014-04-02,12.8,9.5,16.6,64,1.8,0,14.8,1015.4,1
2014-04-03,13.4,8.7,18.5,63,0.0,0,8.3,1018.6,0
2014-04-04,14.0,10.9,17.3,63,0.0,0,9.6,1015.6,1
2014-04-05,15.0,10.9,19.6,59,0.0,0,10.3,1014.8,3
2014-04-06,17.7,11.1,24.2,49,0.0,0,9.3,1017.3,0
2014-04-07,20.5,13.3,28.0,37,0.0,0,7.7,1017.7,0
2014-04-08,21.6,14.3,29.4,39,0.0,0,7.1,1017.5,0
2014-04-09,20.0,13.6,28.2,49,0.0,0,6.7,1015.4,0
2014-04-10,16.7,11.7,23.1,62,0.0,0,7.2,1014.1,0
2014-04-11,17.3,13.0,23.2,63,0.0,0,10.7,1012.3,1
2014-04-12,15.1,13.1,18.3,67,0.0,0,11.1,1012.9,
2014-04-13,15.2,13.4,18.3,66,0.0,0,9.6,1015.2,
2014-04-14,17.4,12.4,23.5,61,0.0,0,8.4,1016.4,0
2014-04-15,16.8,13.2,20.3,68,0.0,,9.7,1013.1,0
2014-04-16,16.3,14.0,20.6,70,0.0,0,9.7,1010.2,
2014-04-17,16.7,14.4,20.7,68,0.0,0,10.8,1011.4,
2014-04-18,17.6,15.2,21.7,65,0.0,0,9.8,1012.1,
2014-04-19,17.2,13.6,21.0,69,0.0,0,8.9,1014.9,0
2014-04-20,18.0,14.2,22.6,70,0.0,0,7.4,1016.8,0
2014-04-21,17.8,14.3,22.8,70,0.0,0,8.8,1016.0,0
2014-04-22,16.8,14.4,20.4,65,0.0,0,12.1,1013.6,
2014-04-23,17.1,12.9,21.3,54,0.0,0,9.0,1013.4,0
2014-04-24,18.2,13.1,24.2,53,0.0,0,8.5,1013.6,0
2014-04-25,17.0,12.9,20.4,68,1.7,0,14.8,1011.6,
2014-04-26,15.0,11.4,19.5,55,0.0,0,21.3,1011.3,0
2014-04-27,15.7,11.4,20.4,59,0.0,0,11.1,1015.0,0
2014-04-28,18.1,13.1,24.8,56,0.0,0,9.6,1014.4,0
2014-04-29,24.4,15.4,32.0,27,0.0,0,9.6,1015.5,0
2014-04-30,25.6,17.1,32.2,16,0.0,0,11.4,1014.9,0
2014-05-01,25.1,17.3,32.7,18,0.0,0,9.2,1015.2,0
2014-05-02,25.1,18.0,33.9,24,0.0,0,8.6,1013.6,0
2014-05-03,23.1,17.2,29.2,41,0.0,0,8.8,1012.1,0
2014-05-04,19.6,15.2,25.2,56,0.0,0,9.5,1013.4,0
2014-05-05,17.3,14.4,21.1,64,0.0,0,13.7,1014.4,1
2014-05-06,16.0,12.5,19.6,57,0.0,0,17.3,1010.6,1
2014-05-07,15.8,12.6,19.3,61,0.0,0,12.5,1013.4,2
2014-05-08,16.4,13.3,20.1,60,0.0,0,10.3,1016.6,
2014-05-09,17.0,13.3,20.9,64,0.0,0,8.0,1016.5,0
2014-05-10,17.6,14.4,21.5,61,0.0,0,10.6,1012.1,0
2014-05-11,21.2,16.3,29.0,25,0.0,0,16.5,1011.7,0
2014-05-12,23.5,15.3,31.5,23,0.0,0,11.5,1014.7,0
2014-05-13,26.5,18.6,34.0,17,0.0,0,10.3,1016.6,0
2014-05-14,27.5,18.3,36.3,15,0.0,0,8.6,1015.7,0
2014-05-15,28.8,20.5,36.9,15,0.0,0,8.7,1014.7,0
2014-05-16,26.3,20.2,33.0,33,0.0,0,8.6,1013.2,0
2014-05-17,21.6,17.7,26.6,59,0.0,0,9.0,1011.4,0
2014-05-18,19.4,16.9,22.7,65,0.0,0,10.0,1011.0,0
2014-05-19,18.9,16.1,22.8,61,0.0,0,14.1,1012.6,
2014-05-20,17.2,14.8,20.2,60,0.0,0,16.7,1014.3,1
2014-05-21,17.2,13.9,21.1,64,0.0,0,11.9,1014.3,
2014-05-22,17.2,14.8,20.6,68,0.0,0,8.2,1014.6,
2014-05-23,18.0,16.2,21.1,67,0.0,0,11.6,1015.6,
2014-05-24,17.8,16.4,20.4,69,0.0,0,6.8,1015.2,
2014-05-25,19.4,17.3,23.4,68,0.0,0,10.4,1013.4,
2014-05-26,20.2,16.8,24.8,68,0.0,0,9.1,1013.7,0
2014-05-27,20.5,17.3,25.3,70,0.0,0,10.4,1013.9,1
2014-05-28,20.5,18.0,24.5,70,0.0,0,9.3,1011.6,
2014-05-29,20.3,17.5,24.6,65,0.0,0,11.5,1011.8,
2014-05-30,20.6,16.2,25.8,62,0.0,0,9.2,1011.1,0
2014-05-31,20.4,15.9,25.4,58,0.0,0,9.1,1011.5,0
2014-06-01,20.1,15.6,24.6,61,0.0,0,9.4,1010.9,0
2014-06-02,18.8,15.3,22.8,66,0.0,0,11.9,1011.1,1
2014-06-03,19.6,14.5,25.2,58,0.0,0,9.5,1011.1,0
2014-06-04,19.7,15.5,24.6,62,0.0,0,10.4,1010.0,0
2014-06-05,19.4,15.9,25.5,67,0.0,0,10.8,1009.7,1
2014-06-06,18.3,15.6,22.5,70,0.0,0,12.1,1009.8,1
2014-06-07,18.1,15.6,22.4,70,0.0,0,9.5,1009.4,
2014-06-08,19.3,15.9,23.9,69,0.0,0,9.5,1008.8,
2014-06-09,18.6,15.3,24.6,76,0.0,0,8.7,1008.6,
2014-06-10,19.3,17.5,22.7,71,0.0,0,10.3,1009.5,
2014-06-11,19.6,17.2,23.4,66,0.0,0,12.2,1011.9,
2014-06-12,19.2,16.4,23.1,67,0.0,0,12.0,1013.4,
2014-06-13,18.9,16.1,22.8,66,0.0,0,10.6,1013.0,
2014-06-14,19.2,16.2,23.7,67,0.0,0,11.0,1011.0,
2014-06-15,19.3,16.6,23.3,66,0.0,0,10.7,1010.6,
2014-06-16,19.2,16.6,22.7,62,0.0,0,12.1,1011.9,
2014-06-17,18.9,15.7,23.7,64,0.0,0,10.8,1012.5,3
2014-06-18,19.2,15.5,23.7,62,0.0,0,9.3,1012.8,2
2014-06-19,20.0,16.2,25.2,66,0.0,0,10.4,1013.1,0
2014-06-20,21.2,17.1,26.1,64,0.0,0,8.5,1012.1,0
2014-06-21,21.5,17.7,26.6,67,0.0,0,9.2,1011.0,0
2014-06-22,20.8,18.0,24.3,66,0.0,0,11.2,1012.0,
2014-06-23,20.8,18.0,24.6,65,0.0,0,10.4,1012.6,
2014-06-24,20.5,17.9,24.7,69,0.0,0,9.7,1013.0,
2014-06-25,20.7,18.0,24.0,70,0.0,0,8.3,1011.7,
2014-06-26,20.9,18.8,24.8,70,0.0,0,9.6,1011.5,
2014-06-27,21.8,18.8,25.7,68,0.0,0,10.3,1010.4,1
2014-06-28,21.7,19.1,26.1,73,0.0,0,9.1,1010.2,
2014-06-29,21.9,19.1,26.5,72,0.0,0,9.9,1010.9,
2014-06-30,21.4,18.8,25.4,73,0.0,0,10.6,1011.3,
2014-07-01,21.1,18.6,25.4,77,0.0,0,10.6,1010.5,
2014-07-02,21.2,18.0,25.6,74,0.0,0,10.4,1011.2,
2014-07-03,22.3,18.4,28.2,72,0.0,0,9.5,1011.9,0
2014-07-04,22.9,19.3,28.6,71,0.0,0,7.4,1014.0,0
2014-07-05,24.4,20.8,29.3,61,0.0,0,9.3,1015.9,0
2014-07-06,24.0,20.5,28.8,64,0.0,0,10.3,1014.5,0
2014-07-07,23.4,20.0,27.9,69,0.0,0,10.7,1012.0,
2014-07-08,22.7,19.7,27.1,71,0.0,0,10.6,1012.8,0
2014-07-09,22.4,19.5,26.5,71,0.0,0,11.4,1013.4,
2014-07-10,21.8,18.8,26.3,71,0.0,0,11.6,1013.4,
2014-07-11,21.4,18.8,25.4,70,0.0,0,12.6,1014.7,
2014-07-12,21.8,18.8,25.9,70,0.0,0,10.3,1014.4,
2014-07-13,22.9,19.6,27.0,67,0.0,0,9.8,1012.1,0
2014-07-14,22.3,20.6,26.1,74,0.0,0,7.5,1013.9,0
2014-07-15,22.2,20.1,25.4,74,0.0,0,10.9,1016.0,
2014-07-16,21.5,19.0,25.5,70,0.0,0,11.8,1016.0,
2014-07-17,21.3,18.8,24.8,65,0.0,0,13.2,1015.8,
2014-07-18,20.9,18.3,24.6,69,0.0,0,11.8,1015.1,0
2014-07-19,20.5,18.6,23.3,75,0.0,0,8.8,1014.0,0
2014-07-20,21.2,19.0,25.5,71,0.0,0,10.0,1014.8,
2014-07-21,21.7,18.3,25.6,71,0.0,0,13.3,1016.1,0
2014-07-22,22.8,18.6,27.7,65,0.0,0,10.2,1016.1,0
2014-07-23,24.0,18.9,29.5,59,0.0,0,10.7,1013.9,0
2014-07-24,24.9,19.4,31.1,58,0.0,0,8.7,1009.5,0
2014-07-25,24.1,20.5,29.8,67,0.0,0,10.3,1011.4,0
2014-07-26,22.8,19.6,27.2,72,0.0,,10.5,1013.6,0
2014-07-27,22.8,20.0,28.1,69,1.9,0,9.9,1014.5,0
2014-07-28,23.8,20.5,29.8,64,0.0,0,10.3,1016.4,0
2014-07-29,23.6,20.0,29.0,63,0.0,0,9.3,1015.3,0
2014-07-30,23.8,20.8,29.7,64,0.0,0,8.2,1013.3,0
2014-07-31,23.3,19.9,28.3,68,0.0,0,10.5,1012.2,0
2014-08-01,22.8,18.9,27.6,72,0.0,0,9.7,1012.1,0
2014-08-02,22.8,18.9,28.5,73,0.5,0,9.6,1012.6,0
2014-08-03,24.0,21.4,28.0,73,0.3,0,9.1,1012.3,
2014-08-04,23.3,18.8,27.9,69,0.0,0,10.6,1014.2,0
2014-08-05,20.9,16.8,25.7,69,0.0,0,11.8,1015.7,1
2014-08-06,20.0,17.2,23.8,71,0.0,0,12.1,1016.1,
2014-08-07,20.6,17.9,25.1,71,0.0,0,10.0,1014.1,
2014-08-08,21.3,18.6,25.8,74,0.0,0,10.2,1012.9,
2014-08-09,21.6,19.1,26.2,75,0.0,0,9.7,1013.7,
2014-08-10,22.5,18.8,27.4,70,0.0,0,9.3,1013.9,0
2014-08-11,22.2,18.8,26.9,71,0.0,0,11.3,1013.1,1
2014-08-12,22.1,19.2,28.2,73,0.0,0,11.0,1013.4,1
2014-08-13,21.5,18.9,25.4,72,0.0,0,10.8,1014.0,
2014-08-14,21.9,18.4,26.9,72,0.0,0,9.3,1013.7,0
2014-08-15,22.5,17.8,28.3,68,0.0,0,9.9,1014.0,0
2014-08-16,23.7,19.4,28.7,61,0.0,0,9.4,1014.4,0
2014-08-17,23.5,19.9,28.5,63,0.0,0,9.7,1012.7,0
2014-08-18,22.7,19.1,28.2,69,0.0,0,8.9,1010.1,0
2014-08-19,21.9,20.1,26.1,70,0.0,0,11.5,1011.1,
2014-08-20,22.3,19.8,26.3,64,0.0,0,11.5,1012.2,
2014-08-21,21.9,19.1,25.6,71,0.0,0,11.6,1013.1,0
2014-08-22,22.1,19.5,26.2,73,0.0,0,10.1,1013.6,0
2014-08-23,22.0,19.0,26.4,69,0.0,0,9.8,1013.0,
2014-08-24,21.6,18.5,26.2,67,0.0,0,9.9,1011.4,
2014-08-25,20.9,18.1,24.5,70,0.0,0,10.0,1012.1,0
2014-08-26,22.2,18.3,27.0,65,0.0,0,8.5,1014.0,0
2014-08-27,24.7,19.5,30.7,54,0.0,0,7.9,1015.6,0
2014-08-28,25.9,20.6,31.8,42,0.0,0,10.1,1013.8,0
2014-08-29,23.7,19.7,28.5,62,0.0,0,8.8,1010.5,0
2014-08-30,23.3,19.0,28.5,69,0.0,0,7.4,1008.7,1
2014-08-31,23.9,20.3,28.3,71,0.0,0,9.9,1008.7,0
2014-09-01,23.9,20.9,28.2,70,0.0,0,8.8,1009.0,
2014-09-02,22.9,20.0,27.3,71,0.0,0,10.2,1009.4,
2014-09-03,22.4,19.8,26.4,71,0.0,0,11.0,1007.7,
2014-09-04,21.7,19.6,25.7,72,0.0,0,10.0,1007.3,
2014-09-05,22.0,18.7,26.8,72,0.0,0,10.9,1010.4,1
2014-09-06,23.3,19.1,29.2,67,0.0,0,8.2,1011.0,1
2014-09-07,25.1,20.8,31.3,58,0.0,0,9.8,1008.4,0
2014-09-08,24.8,22.5,30.2,61,0.3,0,8.4,1010.1,
2014-09-09,24.4,20.7,30.2,60,0.0,0,8.8,1011.8,0
2014-09-10,23.4,18.6,29.1,61,0.0,0,7.7,1011.2,0
2014-09-11,24.8,20.8,29.7,59,0.0,0,8.8,1010.0,0
2014-09-12,25.0,20.8,30.7,63,0.0,0,8.5,1008.8,0
2014-09-13,25.6,20.8,31.9,59,0.0,0,8.1,1007.0,0
2014-09-14,27.4,22.4,33.9,54,0.0,0,7.1,1006.2,0
2014-09-15,28.1,23.3,34.0,51,0.0,0,8.8,1007.6,0
2014-09-16,28.9,24.5,35.4,46,0.0,0,8.0,1006.8,0
2014-09-17,27.6,22.1,32.6,48,0.0,0,11.5,1006.4,0
2014-09-18,22.6,19.6,25.7,69,0.0,0,12.9,1009.8,1
2014-09-19,22.1,19.5,26.1,70,0.0,0,10.5,1011.1,
2014-09-20,21.3,19.0,25.4,73,0.0,0,7.2,1012.6,
2014-09-21,21.3,18.3,25.7,72,0.0,0,8.6,1013.9,
2014-09-22,21.4,17.4,25.4,74,0.0,0,7.8,1013.8,0
2014-09-23,21.8,17.7,26.9,71,0.0,0,7.8,1013.3,1
2014-09-24,22.9,17.7,29.7,62,0.0,,7.5,1011.7,0
2014-09-25,23.8,20.1,28.8,62,0.0,0,9.5,1011.7,0
2014-09-26,21.8,18.8,25.5,69,0.0,0,11.1,1010.9,0
2014-09-27,20.1,17.2,23.2,68,0.0,0,9.9,1010.5,
2014-09-28,20.0,17.3,24.6,70,0.0,0,10.0,1011.7,
2014-09-29,20.4,16.4,24.8,67,0.0,0,7.7,1012.1,0
2014-09-30,21.8,16.9,27.9,64,0.0,0,7.6,1009.5,0
2014-10-01,21.2,17.4,25.9,72,0.0,0,7.9,1008.7,0
2014-10-02,24.9,17.2,36.0,44,0.0,0,6.0,1012.8,0
2014-10-03,26.4,18.5,36.0,23,0.0,0,7.3,1014.7,0
2014-10-04,26.0,18.3,34.2,31,0.0,0,6.1,1012.4,0
2014-10-05,24.5,17.9,32.5,53,0.0,0,6.8,1011.6,0
2014-10-06,23.5,18.1,31.4,58,0.0,0,6.2,1011.6,0
2014-10-07,23.4,18.3,32.1,59,0.0,0,6.4,1010.9,0
2014-10-08,22.0,17.9,26.8,68,0.0,0,7.4,1009.9,0
2014-10-09,21.3,19.2,25.2,71,0.0,0,8.8,1012.6,
2014-10-10,21.0,18.5,24.2,75,0.0,0,7.8,1013.9,
2014-10-11,21.0,17.6,25.8,76,0.0,0,6.9,1013.4,0
2014-10-12,21.1,18.6,25.8,77,0.0,0,7.7,1011.9,
2014-10-13,21.1,17.5,25.8,76,0.0,0,7.4,1014.6,0
2014-10-14,19.9,17.8,23.3,74,0.0,0,10.1,1014.2,
2014-10-15,20.6,17.6,23.9,64,0.0,0,9.8,1014.4,
2014-10-16,19.8,16.1,23.9,69,0.0,0,7.9,1014.5,1
2014-10-17,19.5,15.8,23.2,72,0.0,0,7.9,1013.8,
2014-10-18,19.8,15.8,23.9,67,0.0,0,6.5,1012.0,2
2014-10-19,19.7,15.6,24.1,74,0.0,0,8.2,1011.3,2
2014-10-20,20.2,17.8,24.2,77,0.0,0,7.5,1012.1,
2014-10-21,20.3,17.6,24.9,76,0.0,0,6.2,1011.9,
2014-10-22,20.7,15.9,27.6,68,0.0,0,6.0,1012.4,0
2014-10-23,21.4,15.9,27.9,63,0.0,0,4.2,1013.8,0
2014-10-24,21.7,15.3,28.7,61,0.0,0,5.8,1014.2,0
2014-10-25,20.8,17.0,25.1,68,0.0,0,9.2,1015.9,
2014-10-26,19.7,15.6,25.2,70,0.0,0,7.2,1013.7,0
2014-10-27,19.1,15.0,23.7,70,0.0,0,6.8,1012.3,1
2014-10-28,19.7,15.2,24.9,67,0.0,0,5.3,1015.0,0
2014-10-29,21.0,15.7,27.7,62,0.0,0,4.1,1015.3,0
2014-10-30,20.0,15.9,25.3,70,0.0,0,7.7,1014.4,1
2014-10-31,18.7,16.3,20.8,76,7.3,0,6.9,1012.5,
2014-11-01,16.5,12.9,18.6,68,3.5,0,11.2,1012.8,
2014-11-02,15.4,10.6,20.0,60,0.0,0,6.9,1016.3,0
2014-11-03,16.7,10.5,23.3,46,0.0,0,6.9,1019.2,0
2014-11-04,18.0,10.6,24.5,40,0.0,0,5.3,1020.1,0
2014-11-05,20.4,12.3,28.6,32,0.0,0,5.2,1017.8,0
2014-11-06,22.9,16.3,31.7,31,0.0,0,5.3,1019.0,0
2014-11-07,22.5,15.9,30.8,33,0.0,0,5.7,1017.1,0
2014-11-08,21.4,14.4,30.3,44,0.0,0,4.4,1015.5,0
2014-11-09,18.7,15.6,23.4,75,0.0,0,7.4,1012.3,0
2014-11-10,17.7,16.2,20.4,71,0.0,0,7.0,1010.9,
2014-11-11,17.8,17.0,19.1,67,0.0,0,9.4,1013.0,
2014-11-12,17.6,15.1,20.0,68,0.0,0,8.3,1014.7,
2014-11-13,16.5,12.9,19.6,76,0.0,0,5.2,1016.7,
2014-11-14,17.9,15.7,21.5,78,0.1,0,6.0,1015.6,
2014-11-15,17.3,13.9,21.2,76,0.0,0,7.0,1016.7,
2014-11-16,17.9,13.4,23.1,51,0.0,0,8.2,1019.4,0
2014-11-17,18.2,12.2,25.1,25,0.0,0,3.8,1019.6,0
2014-11-18,17.9,11.5,25.1,28,0.0,0,5.7,1019.6,0
2014-11-19,16.9,12.2,21.7,50,0.0,0,6.7,1019.3,0
2014-11-20,16.1,11.4,20.3,67,0.0,0,7.6,1017.3,
2014-11-21,17.4,13.5,21.5,61,0.0,0,9.3,1014.5,0
2014-11-22,16.7,11.4,21.9,61,0.0,0,5.4,1017.5,0
2014-11-23,18.8,13.3,26.1,39,0.0,0,9.8,1018.6,0
2014-11-24,19.1,13.1,26.7,20,0.0,0,5.7,1022.4,0
2014-11-25,18.5,12.2,26.4,26,0.0,0,6.0,1026.3,0
2014-11-26,18.8,11.4,28.0,31,0.0,0,4.2,1021.9,0
2014-11-27,20.6,13.7,31.0,31,0.0,0,4.4,1017.5,0
2014-11-28,18.2,11.4,26.4,47,0.0,0,4.0,1013.8,0
2014-11-29,16.4,10.5,22.6,67,0.0,0,8.8,1011.6,
2014-11-30,16.7,15.3,18.5,79,11.8,0,10.1,1014.9,
2014-12-01,17.0,14.3,20.1,79,0.0,0,3.1,1018.7,1
2014-12-02,15.8,14.2,17.9,83,28.2,0,11.7,1013.6,
2014-12-03,16.8,14.9,18.9,93,3.2,0,8.5,1013.5,
2014-12-04,17.2,13.9,20.5,85,0.2,0,6.8,1015.3,1
2014-12-05,16.6,13.9,20.1,79,0.0,0,3.8,1018.8,0
2014-12-06,16.9,13.1,20.8,80,0.0,0,4.8,1021.3,0
2014-12-07,17.4,12.4,23.0,67,0.0,0,4.3,1020.3,0
2014-12-08,18.4,13.1,25.0,59,0.0,0,4.9,1017.9,0
2014-12-09,17.5,12.0,23.6,62,0.0,0,4.2,1017.0,0
2014-12-10,16.6,11.9,21.9,76,0.0,0,4.3,1015.0,0
2014-12-11,17.0,15.7,18.9,76,0.1,0,15.3,1013.3,
2014-12-12,15.2,12.0,17.4,79,34.5,0,16.3,1013.5,
2014-12-13,13.6,9.1,17.7,64,0.1,0,7.5,1018.9,0
2014-12-14,13.0,8.6,17.8,66,0.0,0,4.0,1018.8,0
2014-12-15,13.4,8.8,17.9,66,0.0,0,4.4,1016.5,
2014-12-16,13.8,12.2,15.7,83,18.2,0,7.6,1015.4,
2014-12-17,13.8,10.9,17.0,72,5.8,0,5.8,1016.7,
2014-12-18,13.0,9.3,16.9,73,0.0,0,3.1,1021.1,
2014-12-19,13.7,9.6,18.1,71,0.0,0,4.9,1022.2,0
2014-12-20,13.8,10.0,17.3,76,0.0,0,4.0,1020.8,0
2014-12-21,14.8,10.8,19.3,74,0.0,0,4.8,1018.9,0
2014-12-22,15.8,10.5,22.2,77,0.0,0,3.9,1015.9,0
2014-12-23,17.7,11.2,27.5,59,0.0,0,4.0,1016.7,0
2014-12-24,17.8,13.2,23.3,50,0.0,0,6.3,1015.2,1
2014-12-25,14.7,10.9,17.9,34,0.0,0,17.5,1010.6,0
2014-12-26,12.0,6.6,16.9,28,0.0,0,6.7,1017.6,0
2014-12-27,10.7,4.3,15.8,37,0.0,0,5.3,1025.3,0
2014-12-28,10.6,5.4,16.0,46,0.0,0,4.3,1023.5,0
2014-12-29,10.8,5.5,16.4,61,0.0,0,4.2,1019.1,0
2014-12-30,10.8,7.8,14.5,68,4.1,0,11.1,1014.1,
2014-12-31,9.7,5.1,13.7,24,0.0,0,10.8,1015.7,0
2015-01-01,8.3,2.3,14.1,51,0.0,0,4.3,1019.6,0
2015-01-02,9.2,3.4,14.5,62,0.0,0,4.4,1019.9,0
2015-01-03,10.3,5.1,16.0,66,0.0,0,4.4,1023.1,0
2015-01-04,12.0,5.4,18.5,66,0.0,0,4.1,1025.5,0
